inst,pin,x,y,dist_left,dist_right,dist_bottom,dist_top
_07602_,D,490.62503,294.6354,490.6250305175781,381.3749694824219,294.6354064941406,572.5520935058594
_07604_,A_N,498.31253,287.28125,498.3125305175781,373.6874694824219,287.28125,579.90625
_07841_,A,506.52087,280.7604,506.5208740234375,365.4791259765625,280.7604064941406,586.4270935058594
_07845_,A,554.9167,252.66043,554.9166870117188,317.08331298828125,252.66043090820312,614.5270690917969
_07849_,A,559.5,246.07294,559.5,312.5,246.07293701171875,621.1145629882812
_09762_,A,571.63544,239.21251,571.6354370117188,300.36456298828125,239.21250915527344,627.9749908447266
_09914_,A,511.6042,294.58334,511.60418701171875,360.39581298828125,294.5833435058594,572.6041564941406
_09915_,A0,518.3333,294.21875,518.3333129882812,353.66668701171875,294.21875,572.96875
_07529_,D,485.56253,257.71875,485.5625305175781,386.4374694824219,257.71875,609.46875
P1.IR[21]$_DFF_PP0_,Q,549.0625,239.34377,549.0625,322.9375,239.34376525878906,627.8437347412109
_09917_,A2,525.375,293.83334,525.375,346.625,293.8333435058594,573.3541564941406
_07843_,A,510.50003,266.8854,510.5000305175781,361.4999694824219,266.8854064941406,600.3020935058594
_07604_,B,501.62503,287.28125,501.6250305175781,370.3749694824219,287.28125,579.90625
_07602_,C,489.52087,293.6979,489.5208740234375,382.4791259765625,293.6979064941406,573.4895935058594
_07529_,C,487.6042,260.14584,487.60418701171875,384.39581298828125,260.1458435058594,607.0416564941406
_07523_,C,488.30627,266.95834,488.3062744140625,383.6937255859375,266.9583435058594,600.2291564941406
_07508_,A,491.52087,273.8229,491.5208740234375,380.4791259765625,273.8229064941406,593.3645935058594
P1.IR[22]$_DFF_PP0_,Q,484.06253,267.09375,484.0625305175781,387.9374694824219,267.09375,600.09375
_07608_,C1,497.39587,299.27502,497.3958740234375,374.6041259765625,299.2750244140625,567.9124755859375
_07604_,C,500.52087,287.28125,500.5208740234375,371.4791259765625,287.28125,579.90625
_07602_,B,488.39587,293.7125,488.3958740234375,383.6041259765625,293.7124938964844,573.4750061035156
_07529_,B,491.77087,258.9375,491.7708740234375,380.2291259765625,258.9375,608.25
_07523_,B,489.44794,266.95834,489.44793701171875,382.55206298828125,266.9583435058594,600.2291564941406
_07521_,A1,500.29587,280.7604,500.2958679199219,371.7041320800781,280.7604064941406,586.4270935058594
_07514_,A,498.50003,239.13544,498.5000305175781,373.4999694824219,239.13543701171875,628.0520629882812
P1.IR[23]$_DFF_PP0_,Q,490.06253,246.28127,490.0625305175781,381.9374694824219,246.28126525878906,620.9062347412109
_07529_,A,492.09378,259.52084,492.0937805175781,379.9062194824219,259.5208435058594,607.6666564941406
_07523_,A,490.61877,266.8854,490.6187744140625,381.3812255859375,266.8854064941406,600.3020935058594
_07522_,A,481.50003,239.13544,481.5000305175781,390.4999694824219,239.13543701171875,628.0520629882812
P1.IR[24]$_DFF_PP0_,Q,493.06253,232.40627,493.0625305175781,378.9374694824219,232.40626525878906,634.7812347412109
_07831_,C,520.5625,267.27084,520.5625,351.4375,267.2708435058594,599.9166564941406
_07653_,B,520.275,273.77084,520.2750244140625,351.7249755859375,273.7708435058594,593.4166564941406
_07626_,A,504.43753,266.8854,504.4375305175781,367.5624694824219,266.8854064941406,600.3020935058594
_07530_,B,517.3958,273.77084,517.3958129882812,354.60418701171875,273.7708435058594,593.4166564941406
_07525_,A,502.50003,259.9479,502.5000305175781,369.4999694824219,259.9479064941406,607.2395935058594
